file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Household Weight	Monthly Contract Rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)
lng08_occ08_web.dat	2008	Bronx	Sound	No	022887360	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	6 rooms	1 unit without business	Not applicable	082136	01	Owned or being bought	Not applicable (owner occupied)
lng08_occ08_web.dat	2008	Bronx	Sound	No	016922738	01500	Other rental	3 bedrooms	5 rooms	1 unit without business	Not applicable	075808	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	019547348	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5 rooms	1 unit without business	Not applicable	063903	01	Owned or being bought	Not applicable (owner occupied)
lng08_occ08_web.dat	2008	Bronx	Sound	No	023560517	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5 rooms	1 unit without business	Not applicable	049174	01	Owned or being bought	Not applicable (owner occupied)
lng08_occ08_web.dat	2008	Bronx	Sound	No	020832819	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	3 rooms	2 units without business	Not applicable	004104	01	Owned or being bought	Not applicable (owner occupied)
lng08_occ08_web.dat	2008	Bronx	Sound	No	017150895	01200	Other rental	1 bedrooms	3 rooms	3 units	Not applicable	010188	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	018748377	01200	Other rental	2 bedrooms	4 rooms	3 units	Not applicable	032783	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	018736917	01200	Other rental	1 bedrooms	3 rooms	3 units	Not applicable	017086	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	018697463	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5 rooms	3 units	Not applicable	094878	01	Owned or being bought	Not applicable (owner occupied)
lng08_occ08_web.dat	2008	Bronx	Deteriorating	No	018907198	00903	Stabilized pre 1947	4 bedrooms	6 rooms	6 to 9 units	Not applicable	080772	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	023560517	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	4 bedrooms	6 rooms	1 unit without business	Not applicable	095954	01	Owned or being bought	Not applicable (owner occupied)
lng08_occ08_web.dat	2008	Bronx	Sound	No	018736917	00399	Public housing	5 bedrooms	7 rooms	2 units with business	Public Housing	048867	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	021240489	00215	Public housing	1 bedrooms	3 rooms	6 to 9 units	Public Housing	029763	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	018736917	00700	Public housing	5 bedrooms	8 rooms or more	1 unit without business	Public Housing	019604	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	020832819	00191	Public housing	1 bedrooms	2 rooms	6 to 9 units	Public Housing	051111	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	018736917	00600	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	Not applicable	076237	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	016922738	00639	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	Not applicable	030696	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	018907198	00775	Stabilized pre 1947	3 bedrooms	5 rooms	20 to 49 units	Not applicable	043209	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	022870528	00600	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	084033	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	019082348	00886	Stabilized pre 1947	1 bedrooms	2 rooms	20 to 49 units	Not applicable	083712	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	019173280	00623	Stabilized pre 1947	No bedroom	1 rooms	20 to 49 units	Not applicable	040516	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	No	019006029	00940	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	023572	01	Not applicable (renter occupied)	Pay cash rent
lng08_occ08_web.dat	2008	Bronx	Sound	Don't know	021183022	00800	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	011264	01	Not applicable (renter occupied)	Pay cash rent
