file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Monthly Contract Rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	3 bedrooms	5	5 units	421-A	699994	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	2 bedrooms	4	4 units	421-A	801672	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	3 bedrooms	5	4 units	421-A	379564	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	3 bedrooms	5	5 units	421-A	255924	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Other rental	2 bedrooms	4	2 units without business	Not applicable	583712	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Other rental	2 bedrooms	4	2 units without business	Not applicable	516048	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	5	2 units without business	Not applicable	727428	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Other rental	1 bedrooms	2	2 units without business	Not applicable	366414	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	2 bedrooms	5	20 to 49 units	Not applicable	954931	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	10 to 12 units	Not applicable	901123	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	13 to 19 units	Not applicable	798411	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Owner occupied private cooperative	3 bedrooms	5	10 to 12 units	Not applicable	812919	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	5	3 units	J-51	844350	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	5 bedrooms	8	1 unit without business	Not applicable	720379	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01300	Other rental	2 bedrooms	4	3 units	Not applicable	358908	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	2 bedrooms	4	2 units without business	Not applicable	550535	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Other rental	2 bedrooms	3	2 units with business	Not applicable	729540	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Other rental	3 bedrooms	5	3 units	Not applicable	495701	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01400	Other rental	2 bedrooms	4	2 units without business	Not applicable	386367	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00500	Other rental	3 bedrooms	5	4 units	Not applicable	776851	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Other rental	3 bedrooms	5	3 units	Not applicable	951314	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Owner occupied condo	2 bedrooms	4	3 units	J-51	123256	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	01225	Other rental	2 bedrooms	4	3 units	J-51	233437	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Condo	01600	Other rental	3 bedrooms	5	3 units	J-51	965207	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Owner occupied conventional	3 bedrooms	5	3 units	Not applicable	001514	01	Owned or being bought	Not applicable (owner occupied)
lng11_occ11_web.dat	2011	Bronx	Sound	No	01550	Other rental	3 bedrooms	5	3 units	Not applicable	177940	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00500	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	Not applicable	206910	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01100	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	590025	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00971	Stabilized post 1947	3 bedrooms	5	6 to 9 units	Not applicable	138769	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Stabilized post 1947	1 bedrooms	3	6 to 9 units	Not applicable	912980	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01500	Stabilized post 1947	3 bedrooms	5	20 to 49 units	Not applicable	214583	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01600	Other rental	3 bedrooms	5	6 to 9 units	Not applicable	421368	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01444	Other rental	2 bedrooms	4	2 units without business	Not applicable	507082	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	02700	Other rental	3 bedrooms	6	2 units without business	Not applicable	239668	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00750	Stabilized pre 1947	No bedroom	1	6 to 9 units	Not applicable	513341	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01200	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	J-51	149499	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00998	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	J-51	988321	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	4 bedrooms	6	10 to 12 units	Not applicable	925032	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized pre 1947	2 bedrooms	4	20 to 49 units	J-51	673160	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	01085	Other rental	1 bedrooms	3	20 to 49 units	J-51	709555	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	01250	Other rental	1 bedrooms	3	20 to 49 units	J-51	223568	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	529618	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00648	Public housing	4 bedrooms	6	100 units or more	Public Housing	147555	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00449	Public housing	2 bedrooms	4	100 units or more	Public Housing	984083	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00602	Public housing	2 bedrooms	4	100 units or more	Public Housing	049018	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01070	Stabilized pre 1947	4 bedrooms	6	50 to 99 units	J-51	092965	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00900	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	J-51	208142	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01270	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	J-51	372298	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01058	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	J-51	792952	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01000	Other rental	2 bedrooms	4	4 units	Not applicable	458105	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00600	Other rental	1 bedrooms	2	4 units	Not applicable	815307	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01681	Stabilized pre 1947	3 bedrooms	5	6 to 9 units	Not applicable	091895	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00970	Other rental	1 bedrooms	3	4 units	Not applicable	257279	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00203	Public housing	1 bedrooms	3	20 to 49 units	Public Housing	174707	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00277	Public housing	4 bedrooms	6	20 to 49 units	Public Housing	935626	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00277	Public housing	3 bedrooms	5	20 to 49 units	Public Housing	229000	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00400	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	404216	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	Coop	00600	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	Not applicable	090153	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00400	Stabilized pre 1947	1 bedrooms	3	50 to 99 units	Not applicable	444277	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00600	Stabilized pre 1947	2 bedrooms	4	50 to 99 units	Not applicable	811135	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	01070	Stabilized pre 1947	No bedroom	1	10 to 12 units	Not applicable	021068	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00725	Stabilized pre 1947	No bedroom	1	20 to 49 units	Not applicable	166315	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00710	Stabilized pre 1947	No bedroom	1	20 to 49 units	Not applicable	708456	01	N/A (renter)	Pay cash rent
lng11_occ11_web.dat	2011	Bronx	Sound	No	00660	Stabilized pre 1947	1 bedrooms	3	20 to 49 units	Not applicable	351150	01	N/A (renter)	Pay cash rent
