file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Monthly Contract Rent	Most Recent Place Householder Lived For 6 Months or More	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)	Year Householder Moved into Unit Recode
uf_14_occ_web_b.txt	2014	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied condo	3 bedrooms	4 rooms	4 units	  	458669	01	Owned or being bought	Not applicable (owner occupied)	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Always lived in this unit	Owner occupied condo	3 bedrooms	5 rooms	4 units	  	436326	01	Owned or being bought	Not applicable (owner occupied)	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	Condo	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied condo	3 bedrooms	5 rooms	4 units	  	716407	01	Owned or being bought	Not applicable (owner occupied)	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01500	Always lived in this unit	Other rental	1 bedrooms	2 rooms	2 units without business	  	716297	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied conventional	1 bedrooms	2 rooms	2 units with business	  	598071	01	Owned or being bought	Not applicable (owner occupied)	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00850	Manhattan	Stabilized pre 1947	3 bedrooms	5 rooms	20 to 49 units	  	828835	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied private cooperative	1 bedrooms	3 rooms	13 to 19 units	  	161979	01	Owned or being bought	Not applicable (owner occupied)	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Not Reported	Coop	Not applicable (occupied rent free or owner occupied)	Not reported	Owner occupied private cooperative	3 bedrooms	5 rooms	13 to 19 units	  	891299	01	Owned or being bought	Not applicable (owner occupied)	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Always lived in this unit	Owner occupied conventional	2 bedrooms	4 rooms	2 units without business	  	640133	01	Owned or being bought	Not applicable (owner occupied)	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied conventional	1 bedrooms	2 rooms	2 units without business	  	057141	01	Owned or being bought	Not applicable (owner occupied)	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00600	Brooklyn	Stabilized pre 1947	No bedroom	1 rooms	10 to 12 units	  	637800	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00750	Bronx	Other rental	1 bedrooms	2 rooms	3 units	  	284361	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Dilapidated	No	Not applicable (occupied rent free or owner occupied)	Bronx	Other rental	2 bedrooms	6 rooms	3 units	  	988688	01	N/A (renter)	Occupy rent free	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Dilapidated	No	Not applicable (occupied rent free or owner occupied)	Brooklyn	Other rental	4 bedrooms	6 rooms	3 units	  	090120	01	N/A (renter)	Occupy rent free	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	Condo	00998	Always lived in this unit	Stabilized pre 1947	3 bedrooms	4 rooms	3 units	  	598001	01	N/A (renter)	Pay cash rent	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied conventional	3 bedrooms	5 rooms	3 units	  	084092	01	Owned or being bought	Not applicable (owner occupied)	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01650	Bronx	Other rental	3 bedrooms	5 rooms	3 units	  	464007	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00975	Bronx	Other rental	2 bedrooms	4 rooms	3 units	  	907992	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00750	Queens	Other rental	1 bedrooms	2 rooms	3 units	  	693068	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01000	Not reported	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	255204	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00975	Not reported	Stabilized post 1947	3 bedrooms	6 rooms	6 to 9 units	  	308866	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Not Reported	No	01650	Always lived in this unit	Stabilized post 1947	3 bedrooms	5 rooms	10 to 12 units	  	823685	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01760	Manhattan	Other rental	3 bedrooms	5 rooms	6 to 9 units	  	162423	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01565	Bronx	Other rental	2 bedrooms	3 rooms	2 units without business	  	860960	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00500	Bronx	Stabilized pre 1947	No bedroom	1 rooms	6 to 9 units	  	686529	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Queens	Owner occupied conventional	4 bedrooms	7 rooms	2 units without business	  	291815	01	Owned or being bought	Not applicable (owner occupied)	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01100	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	315827	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01500	Bronx	Stabilized pre 1947	3 bedrooms	5 rooms	20 to 49 units	  	004125	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01480	Manhattan	Stabilized pre 1947	2 bedrooms	3 rooms	13 to 19 units	  	669263	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	00900	Bronx	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	509898	01	N/A (renter)	Pay cash rent	1985-1989
uf_14_occ_web_b.txt	2014	Bronx	Not Reported	Coop	00800	Other unit in same building	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	  	472301	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	00850	Other unit in same building	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	309963	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01100	Always lived in this unit	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	542125	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00671	Bronx	Public housing	4 bedrooms	6 rooms	100 units or more	  	363818	01	N/A (renter)	Pay cash rent	1969 or earlier
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00351	Bronx	Public housing	2 bedrooms	4 rooms	50 to 99 units	  	533370	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00515	Bronx	Public housing	2 bedrooms	4 rooms	50 to 99 units	  	455350	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00992	Bronx	Stabilized pre 1947	4 bedrooms	6 rooms	20 to 49 units	  	963295	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01200	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	049095	01	N/A (renter)	Pay cash rent	1985-1989
