file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	Unknown	No	1 to 2 months	013531660	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	5 bedrooms	7 rooms	3 units	Not applicable	There is a legal dispute involving the unit	358161	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	3 to 6 months	019281365	0266	01600	Other rental	4 bedrooms	6 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	749242	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Not Reported	No	No	1 year or more	023498963	0325	01300	Other rental	2 bedrooms	4 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	232318	Don't know	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	3 to 6 months	018187041	0320	01600	Other rental	3 bedrooms	5 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	706712	Don't know	Available for rent	01	For rent (old construction)	Real estate agent/broker
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	039171	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	708878	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	017327374	0327	01638	Stabilized pre 1947	3 bedrooms	5 rooms	20 to 49 units	J-51	Not applicable (available for rent or available for sale only)	630016	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Yes, a cooperative	Yes, a cooperative	2 to 3 months	018935812	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	J-51	Unit or building is awaiting renovation	255635	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	20 to 49 units	Public Housing	Unit or building is awaiting renovation	224415	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	018935812	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	3 units	Not applicable	Unit or building is undergoing renovation	451549	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019544259	0500	01500	HUD regulated	1 bedrooms	3 rooms	20 to 49 units	HUD regulated	Not applicable (available for rent or available for sale only)	049353	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	017327374	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	HUD regulated	Unit or building is awaiting renovation	490130	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Unit or building is undergoing renovation	420019	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Deteriorating	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	757922	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	024278709	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	50 to 99 units	Mitchell Lama City/Rental	Unit or building is awaiting renovation	405097	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	017327374	0375	01500	Stabilized pre 1947	2 bedrooms	4 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	414180	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019974612	0333	01000	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	368502	Owner occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	014862625	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	848057	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021695080	0280	01400	Other rental	3 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	066484	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	018187041	0300	01500	Stabilized pre 1947	3 bedrooms	5 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	417466	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021604335	0350	01400	Stabilized pre 1947	2 bedrooms	4 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	439392	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	022559005	0300	00900	Other rental	1 bedrooms	3 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	951530	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	016155228	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Not applicable	Unit or building is awaiting renovation	044395	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Not Reported	No	No	2 to 3 months	019974612	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	3 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	907099	Renter occupied	Available for sale only	02	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	021604335	0100	00300	HUD regulated	1 bedrooms	3 rooms	50 to 99 units	HUD regulated	Not applicable (available for rent or available for sale only)	110241	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018187041	0300	00900	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	535580	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	021695080	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	3 units	421-A	Held for other reasons	439105	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	Less than 1 month	014862625	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	HUD regulated	Unit or building is undergoing renovation	279920	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Not reported	Not reported	Less than 1 month	014862625	0362	01450	Other rental	2 bedrooms	4 rooms	5 units	Not applicable	Not applicable (available for rent or available for sale only)	243211	Not reported	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	3 units	Not applicable	Unit or building is undergoing renovation	434879	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	017068640	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	796548	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	014862625	0250	01500	Other rental	4 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	944484	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	Unknown	No	1 year or more	018187041	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	10 to 12 units	Not applicable	There is a legal dispute involving the unit	277022	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	2 to 3 months	019974612	0475	01426	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	714711	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	1 to 2 months	019974612	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	192081	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Bronx	Sound	No	No	6 to 12 months	018187041	0333	01000	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	313594	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
